200.225.115.220 - - [13/Nov/2024:03:28:26 +0000] "GET / HTTP/1.1" 200 1103 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 18_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.1 Mobile/15E148 Safari/604.1"
184.105.247.195 - - [13/Nov/2024:03:42:33 +0000] "GET / HTTP/1.1" 200 1103 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:124.0) Gecko/20100101 Firefox/124.0"
184.105.247.195 - - [13/Nov/2024:03:47:22 +0000] "GET /webui/ HTTP/1.1" 404 196 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36"
184.105.247.195 - - [13/Nov/2024:03:50:47 +0000] "GET /favicon.ico HTTP/1.1" 404 134 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:125.0) Gecko/20100101 Firefox/125.0"
184.105.247.195 - - [13/Nov/2024:03:51:24 +0000] "GET / HTTP/1.1" 200 1103 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:124.0) Gecko/20100101 Firefox/124.0"
184.105.247.195 - - [13/Nov/2024:03:54:51 +0000] "GET /geoserver/web/ HTTP/1.1" 404 196 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.84 Safari/537.36"
184.105.247.195 - - [13/Nov/2024:03:56:51 +0000] "GET /.git/config HTTP/1.1" 200 260 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/120.0.6099.28 Safari/537.36"
185.91.127.43 - - [13/Nov/2024:04:01:04 +0000] "\x05\x01\x00" 400 166 "-" "-"
185.91.127.43 - - [13/Nov/2024:04:01:04 +0000] "CONNECT api.ip.pn:443 HTTP/1.1" 400 166 "-" "-"
87.120.115.119 - - [13/Nov/2024:04:01:14 +0000] "GET /_profiler/phpinfo HTTP/1.1" 404 134 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US) AppleWebKit/533.17.8 (KHTML, like Gecko) Version/5.0.1 Safari/533.17.8"
194.50.16.198 - - [13/Nov/2024:04:03:04 +0000] "GET /login.asp HTTP/1.1" 404 162 "-" "-"
